Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#
Telephone Harassment,6054 S. Drexel (UC Office Bldg),7/6/10 16:09,7/6/10 7:40 AM to 1:00 PM,Staff member reports a person is constantly calling and harassing her via telephone at work,Open,W0754
Pubic Indecency,Greenwood at 56th,7/6/10 21:11,7/6/10 21:11,Male performing an indecent act on the public way was observed and arrested by UCPD officers / Also charged with failing to register new address as a sex offender,Arrest,W0757
Theft,5640 S. University (Bartlett Commons),7/6/10 21:36,7/2/10 to 7/6/10 4:00 PM to 6:15 PM,Bicycle chained to bike rack taken,Open,W0755
Criminal Trespass to Property,5514 S. University (Pierce Hall),7/6/10 21:50,7/6/10 21:50,Man ignored previous warnings arrested by UCPD for trespass,Arrest,W0756
Fire Alarm,6035 S. Blackstone (Chiller Plant),7/7/10 5:27 AM,7/7/10 5:27 AM,Alarm malfunction / CFD responded,Closed,W0758
Criminal Damage to Vehicle,Ingleside at 55th,7/7/10 12:23 PM,7/7/10 8:00 AM to 12:00 PM,Unknown person smashed passenger's side rear window of a car parked on the street,Open,W0759
Theft,1101 E. 57th St. (Zoology),7/7/10 1:22 PM,7/7/10 11:00 AM to 12:45 PM,Unknown person entered an unlocked room and removed a MacBook computer from a cable lock,Open,W0760
Theft from Motor Vehicle,Hyde Park between 55th & 56th,7/7/10 6:17 PM,7/4/10 to 7/7/10  11:00 PM to 6:00 PM,Unknown person smashed window of car parked on the street and took a 35 lb. bag of dog food,Open,W0761
Criminal Trespass to Property,1126 E. 59th St. (Social Science),7/8/10 2:27 PM,7/8/10 2:27 PM,Man ignored previous warning and was arrested by UCPD for trespass,Arrest,W0762
Miscellaneous,6054 S. Drexel (UCPD),7/8/10 5:50 PM,7/8/10 5:50 PM,Domestic situation involving custody of children,Closed,W0763
Fire Alarm,940 E. 57th St. (Bio-Psychological Research),7/9/10 8:45 AM,7/9/10 8:30 AM,Alarm triggered by leaking water heater / No fire,Closed,W0764
Sexual Assault,54th between Woodlawn & Kimbark,7/9/10 1:09 PM,7/9/10 1:05 PM,Male subject armed with a knife demanded and took money from a woman in a building vestibule and attempted to sexually assault her / Arrest by UCPD,Arrest,W0765
Burglary,54th between Cottage Grove and Drexel,7/9/10 4:42 PM,7/9/10 9:30 AM to 4:30 PM,Unknown person(s) gained entry to apartment and took 2 laptop computers and a Gameboy / No sign of forced entry,Open,W0766
Fire Alarm,5630 S. University (Max Palevsky East),7/9/10 6:13 PM,7/9/10 6:13 PM,Smoke detector malfunction / CFD responded,Closed,W0767
Disturbance,University between 56th & 57th,7/10/10 4:55 AM,7/10/10 4:55 AM,Complaint of people setting off fireworks / Peace restored,Closed,W0768
Hazardous Material Incident,920 E. 58th St. (Cummings Life Science Ctr.),7/10/10 3:28 PM,7/10/10 1:35 PM,Researcher accidently spilled chemical substance / Safety and CFD notified. CFD Haz. Mat. Team responded / Cleaned area.,Closed,W0769
Fire Alarm,940 E. 57th St. (Bio-Psychological Science),7/11/10 12:07 AM,7/11/2010  12:07 AM AM,Alarm malfunction / CFD responded,Closed,W0770
Activated Alarm,5801 S. Ellis (Admin. Building),7/11/10 4:42 AM,7/11/10 4:42 AM,Apparent alarm malfunction / Premise secure,Closed,W0771
Fire,62nd St. between Drexel & Ingleside,7/11/10 8:43 AM,7/11/10 8:35 AM,ComEd transformer in the alley sparked and caught fire / CFD extinguished / ComEd on scene,Closed,W0772
Criminal Sexual Assault,53rd at Ellis,7/11/10 2:21 PM,7/11/10 2:10 PM,A male acquaintance visiting a female forced sexual intercourse against her will,Open,W0773
Burglary,58th between Kimbark & Kenwood,7/11/10 8:29 PM,7/11/10 8:20 PM,Residents came home and found a male subject had broken into their apartment / Suspect fled before police arrived,Open,W0774
Disturbance,1100 E. 57th St. (Regenstein Library),7/11/10 9:55 PM,7/11/10 9:50 PM,Male subject created a disturbance when a staff member told him it was too late to check out a book,Closed,W0775
Theft,5721 S. Maryland (Comer Hospital),7/12/10 7:37 AM,7/9/10 2:00 PM to 7/12/10 5:30 AM,Unknown person took17 files  from a file cabinet,Open,W0776
Disturbance,University between 56th & 57th,7/13/10 12:35 AM,7/13/10 12:35 AM,Neighbors complained of loud noisy party outside of a residence / Peace restored,Closed,W0777
Injured Person,5514 S. University (Pierce Hall),7/13/10 2:27 PM,7/13/10 2:20 PM,Man climbing fence cut his wrist / Transported to ER by CFD EMS,Closed,W0778
Criminal Damage to Property,Kimbark at 53rd,7/13/10 4:57 PM,7/13/10 12:00 PM to 3:00 PM,Unknown person scrawled graffiti on the side of a residential building,Open,W0779
Warrant Arrest,53rd at Maryland,7/13/10 6:16 PM,7/13/10 6:16 PM,UCPD officers arrested a man wanted on a warrant,Arrest,W0780
Irregular Conditions,1059 E. 59th St. (Classics),7/14/10 6:54 AM,7/14/10 6:54 AM,Alarm malfunction due to a power outage,Closed,W0781
Theft,6030 S. Ellis (Edelstone Center),7/14/10 10:43 AM,7/13/10 2:00 PM to 4:00 PM,Unknown person entered unsecured office and took unattended wallet left on a desk,Open,W0782
Fire/Smoke Report,924 E. 57th St. (Knapp Center),7/14/10 12:33 PM,7/14/10 12:33 PM,Plastic accidently placed in a sterilizer oven caused smoke / CFD responded,Closed,W0783
Theft,5706 S. University (Reynolds Club),7/14/10 6:23 PM,7/13/10 to 7/14/10 6:30 PM to 10:00 AM,Three keys to the facility taken from an unattended key ring left in a mail box,Open,W0784
Sick Person,5845 S. Ellis (Gates-Blake),7/15/10 8:41 AM,7/15/10 8:41 AM,Sick person transported to ER by CFD EMS / Treated and released,Closed,W0785
Theft,5550 S. University (Crown Field House),7/15/10 12:51 PM,7/15/10 9:45 AM to 12:45 PM,Bicycle chained to bike rack taken by unknown person,Open,W0786
Theft,5815 S. Maryland (Mitchell Hospital),7/15/10 3:02 PM,7/15/10 11:00 AM to 12:55 PM,Unknown person took wallet from a purse that was placed on the floor under the table while dining / Unauthorized use of credit card subsequently reported,Open,W0787
Possession of Cannabis,1212 E. 59th St. (Ida Noyes),7/15/10 3:37 PM,7/15/10 3:37 PM,UCPD officer questioning suspicious male in Ida Noyes discovered subject possessed marijuana / Arrest,Arrest,W0788
Stuck Elevator,5455 S. Blackstone (Neighborhood Res.),7/15/10 8:12 PM,7/15/10 8:10 PM,Woman freed from stuck elevator by CFD,Closed,W0789
Irregular Condition,5640 S. University (Bartlett Commons),7/16/10 12:42 AM,7/16/10 12:42 AM,During a premise check UCPD officer found exterior door not properly secured / Premises checked and secured,Closed,W0790
Theft,6420 S. University (Charter School),7/16/10 9:10 AM,6/18/10 3:40 PM,Former staff member refused to return a MacBook laptop computer when he was terminated,Open,W0791
Sick Person,6054 S. Drexel (UCPD),7/16/10 11:54 AM,7/16/10 11:54 AM,Staff member complained of chest pains / Transported to Mitchell ER by CFD EMS,Closed,W0792
Theft,Cornell between 51st & 52nd,7/16/10 1:49 PM,7/15/10 to 7/16/10 8:30 PM to 12:30 PM,Unknown person took bicycle chained to rear porch of residence,Open,W0793
Theft,Woodlawn at 54th,7/16/10 3:29 PM,7/15/10 to 7/16/10 7:00 PM to 9:30 AM,Bicycle chained to city stop sign taken by unknown person,Open,W0794
Robbery,Ellis between 51st & 52nd,7/16/10 8:37 PM,7/16/10 8:30 PM,Man walking on the street was attacked by five youths who punched him and took his property / 1 arrest / some property recovered,Arrest,W0795
Disturbance,University between 56th & 57th,7/17/10 3:58 AM,7/17/10 3:56 AM,Neighbors complained of loud music at a residence / Peace restored,Closed,W0796
Theft,Cornell between 50th & 51st,7/17/10 12:54 PM,7/17/10 11:00 AM to 11:30 AM,Unknown person took purse that was placed behind a chair that complainant occupied,Open,W0797
Theft,970 E. 58th St. (Bookstore),7/17/10 2:30 PM,7/17/10 1:00 PM,Unknown person took coin purse containing credit card from an unattended handbag left at workstation,Open,W0798
Theft,5815 S. Maryland (Mitchell Hospital),7/17/10 4:23 PM,7/16/10 to 7/17/10 7:00 PM to 3:00 PM,$400 taken from unattended purse left in patient's room,Open,W0799
Theft,1118 E. 58th St. (Eckhart Hall),7/18/10 6:55 AM,7/16/10 to 7/17/10 7:30 PM to 9:30 PM,Unknown person took an Apple MacBook laptop computer from a room,Open,W0800
Theft,56th between Woodlawn and Kimbark,7/18/10 11:01 AM,7/18/10 12:30 AM to 10:30 AM,Unknown person smashed driver's side window of car parked on the street and took a Sony digital camera and an i-Pod from the glove box,Open,W0801
Criminal Trespass to Land,5800 S. Stony Island (Doctors Hospital),7/18/10 12:42 PM,7/18/10 12:42 PM,UCPD arrested a man for trespassing to the vacant and boarded former Doctors Hospital building,Arrest,W0802
Lost Property,5815 S. Maryland (Mitchell Hospital),7/18/10 7:19 PM,7/18/10 2:00 PM to 7:00 PM,Patient's cell phone missing after she transferred rooms,Closed,W0803
Burglary,Greenwood between 48th & 49th,7/19/10 11:51 AM,7/18/10 12:00 PM to 1:00 PM,"Unknown person(s) entered a residence via a rear window taking a lap top computer, marble chess set, and jewelry",Open,W0804
Cyberstalking,5841 S. Maryland (Mitchell Hospital),7/19/10 12:30 PM,7/16/10 to 7/18/10 8:50 PM to 10:15 PM,Report of receipt of annoying email messages,Open,W0805
Theft,57th between Harper & Lake Park,7/19/10 3:54 PM,7/18/10 to 7/19/10 12:30 AM to 9:30 AM,A Sony Playstation and an X-Box were taken from an apartment during the course of a party,Open,W0806
Recovered Motor Vehicle,Blackstone at 54th Pl.,7/19/10 11:11 PM,7/19/10 11:11 PM,"UCPD officer recovered stolen, unattended vehicle parked on the street / Turned over to CPD",Closed,W0807
Theft,1025 E. 58th St. (Swift Hall),7/20/10 12:07 PM,7/20/10 11:30 AM,"Unknown male entered coffee shop, ate two dinners and left without paying",Open,W0808
Irregular Condition,1025 E. 58th St. (Swift Hall),7/20/10 12:17 PM,7/20/10 12:17 PM,Power outage reported / Power restored at 1:40 PM,Closed,W0809
Theft,1101 E. 56th St. (Max Palevsky Central),7/20/10 3:12 PM,7/12/10 to 7/20/10  8:00 AM to 3:00 PM,Bicycle chained to metal fence taken by unknown person,Open,W0810
Theft,5550 S. University (Crown Field House),7/20/10 4:20 PM,7/20/10 3:30 PM to  4:20 PM,Unknown person(s) forced open three gym locker doors and took three cell phones,Open,W0812
Battery,5706 S. University (Reynolds Club),7/20/10 5:07 PM,7/20/10 4:45 PM,Unknown male placed his hand on woman's buttocks as they passed in a hallway / Suspect fled,Open,W0811
Assault,1118 E. 58th St. (Eckhart Hall),7/20/10 5:34 PM,7/20/10 2:20 PM,Woman felt threatened after a verbal exchange with a man dissatisfied with service,Open,W0813
Fire / Smoke Report,1100 E. 58th St. (Quad),7/20/10 8:16 PM,7/20/10 8:15 PM,Small fire in trash container in the Quad extinguished by CFD / No damage,Closed,W0814
Recovered Motor Vehicle,Woodlawn between 55th & 56th,7/21/10 12:04 AM,7/21/10 12:04 AM,UCPD officer arrested male subject in possession of a stolen motorcycle,Arrest,W0816
Injured Person,5815 S. Kimbark (Belfield Hall),7/21/10 3:23 AM,7/21/10 3:23 AM,Deliveryman fell down stairs injuring his lower back and head / Transported to ER by CFD EMS,Closed,W0815
Criminal Damage to Property,55th between Drexel and Ellis,7/21/10 2:57 PM,7/20/10 to 7/21/10 7:00 PM to 3:00 PM,Unknown person shattered rear window of a car parked on the street,Open,W0817
Damage to Property,6031 S. Ellis (South Campus Residence Hall),7/21/10 2:13 PM,7/1910 to 7/21/10 8:00 PM to 2:00 PM,Window damaged / Cause Undetermined,Closed,W0818
Fire Alarm,6031 S. Ellis (South Campus Residence Hall),7/21/10 6:12 PM,7/21/10 6:12 PM,Alarm malfunction / CFD responded,Closed,W0819
Fire Alarm,5700 S. Stony Island,7/21/10 9:43 PM,7/21/10 9:43 PM,Smoke from over-cooked food triggered alarm / No fire / CFD responded,Closed,W0820
Fire Alarm,1010 E. 59th St. (Classics),7/22/10 10:31 AM,7/22/10 10:31 AM,Alarm accidently triggered by contractor servicing system / CFD responded,Closed,W0821
Criminal Trespass to Land,5811 S. Ellis (Cobb Hall),7/22/10 1:15 PM,7/22/10 1:15 PM,UCPD officers arrested male subject for trespass and possession of burglary tools,Arrest,W0822
Theft from Motor Vehicle,56th between Greenwood & University,7/22/10 3:39 PM,7/22/10 3:30 PM,Unknown person broke window of van parked on the street and took bicycle and GPS device,Open,W0824
Theft,1137 E. 57th St. (Hutchinson Commons),7/22/10 4:14 PM,7/22/10 2:00 PM,Unknown person took wallet from unattended book bag / Unauthorized use of credit card reported,Open,W0823
Theft,924 E. 57th St. (BSLC),7/22/10 9:12 PM,7/22/10 9:00 AM to 9:00 PM,Unknown person took a bicycle that was chained to a bike rack,Open,W0826
Robbery,Woodlawn between 54th & 55th,7/22/10 9:28 PM,7/22/10 9:25 PM,"Four males grabbed man walking on the street, struck him and took his i-Pod before fleeing on foot",Open,W0825
Unlawful Use of a Weapon,61st at Greenwood,7/21/10 2:01 PM,7/19/10 7:00 PM to 8:30 PM,Investigation of possible unlawful discharge of a firearm on the street by an unknown person,Open,W0827
Cyberstalking,5841 S. Maryland (Mitchell Hospital),7/23/10 8:37 AM,7/16/10 9:33 PM,Report of receipt of annoying email,Open,W0828
Theft,Blackstone between 50th & 51st St.,7/23/10 1:01 PM,7/23/10 12:45 PM,Man took cell phone from a youth on the street and refused to return it / UCPD officer located and arrested suspect / phone recovered,Arrest,W0830
Burglary,Greenwood between 62nd & 63rd,7/23/10 1:25 PM,7/23/10 1:15 PM,Two males seen entering residence via window / Arrest,Arrest,W0831
Deceptive Practice,924 E. 57th St (BSLC),7/23/10 2:46 PM,7/21/10 1:00 PM,Unknown male caller used ruse in an attempt to secure credit card information from complainant,Open,W0829
Theft,5730 S. Drexel (Comer Hospital),7/23/10 7:59 PM,7/23/10 4:30 PM to 7:30 PM,Unknown person took a bicycle that was secured to a bike rack,Open,W0832
Irregular Conditions,5640 S. University (Bartlett Commons),7/23/10 10:26 PM,7/23/10 10:26 PM,UCPD officer discovered an unlocked exterior door / Premise toured and secured,Closed,W0833
VOID,Void,Void,Void,System error,Void,W0834
Irregular Conditions,1100 E. 57th St. (Regenstein Library),7/23/10 11:57 PM,7/23/10 11:57 PM,Leak in basement due to heavy rain / Engineer notified,Closed,W0835
VOID,Void,Void,Void,Number issued in error,Void,W0836
Fire Alarm,5835 S. Greenwood (Stuart Hall),7/24/10 7:27 AM,7/24/10 7:27 AM,Clogged drain on roof caused water leak that triggered alarm / CFD responded,Closed,W0837
Irregular Conditions,Various Campus Buildings,7/24/10 10:45 AM,7/24/10  12:00:00 AM to 10:00 AM,Report of water leaks and flooding of several campus buildings due to heavy rains,Closed,W0838
Irregular Conditions,901 E. 58th St. (Mitchell ER),7/24/10 11:33 AM,7/24/10 9:35 AM,Power surge reported at Mitchell ER and several buildings on campus,Closed,W0839
Theft,Greenwood at 53rd,7/24/10 1:38 PM,7/24/10 1:00 AM to 6:00 AM,Unknown person took unsecured bicycle from lobby of apartment building,Open,W0840
Criminal Damage to Property,1125 E. 58th St.,7/24/10 2:56 PM,7/20/10 to 7/24/10 3:00 PM to 2:55 PM,Unknown person scrawled graffiti on two bulletin boards and a table in the Quad area / Facilities notified,Open,W0841
Lost Property,5815 S. Maryland (Mitchell Hospital),7/24/10 7:07 PM,7/24/10 11:00 AM to 7:05 PM,Patient reports a HP computer missing after she transferred rooms in the hospital,Closed,W0842
Irregular Conditions,5730 S. Ellis (Crerar Library),7/24/10 9:44 PM,7/23/10 to 7/24/10 10:00 PM to 8:00 AM,Doors to library were propped open with newspaper / UCPD conducted premise check,Closed,W0843
Irregular Conditions,6054 S. Drexel (UCPD) / 6031 S. Ellis (South Campus Res. Hall),7/24/10 9:45 PM,7/24/10 9:45 PM,Power outage reported / ComEd restored power at 11:25 PM,Closed,W0845
Irregular Conditions,1359 E. Hyde Park (Fairfax),7/24/10 9:54 PM,7/24/10 9:54 PM,Person freed from stuck elevator by CFD,Closed,W0844
Theft,5730 S. Drexel (Comer ER),7/25/10 12:55 AM,7/24/10 to 7/25/10 11:30 PM to 12:55 AM,Unknown person took credit cards and ID from an unattended wallet in Comer ER waiting area,Open,W0846
Sick Person,5630 S. University (Max Palevsky East),7/25/10 1:03 AM,7/25/10 1:03 AM,Sick person transported to Provident Hospital by CFD EMS,Closed,W0847
Found Property,1116 E. 59th St. (Harper Library),7/25/10 7:47 AM,7/25/10 7:47 AM,UCPD officer found briefcase on bench / Owner contacted,Closed,W0848
Deceptive Practice,Woodlawn between 54th & 55th,7/25/10 8:08 AM,7/22/10 10:00 PM,Complainant scammed via email / gave cnet ID and password to unknown party,Open,W0849
Possession of Cannabis,5630 S. University (Max Palevsky East),7/25/10 10:12 AM,7/25/10 10:12 AM,Subject arrested for possession of marijuana,Arrest,W0850
Fire Alarm,6031 S. Ellis (South Campus Residence Hall),7/25/10 11:23 AM,7/25/10 11:23 AM,Alarm malfunction / CFD responded,Closed,W0851
Miscellaneous,Everett between 55th & 56th,7/25/10 1:19 PM,7/25/10 1:19 PM,UCPD officers came to aid of woman calling for help / No crime committed,Closed,W0854
Lost Property,5815 S. Maryland (Mitchell Hospital),7/25/10 1:41PM,7/23/10 12:00 PM to 6:00 PM,Patient reports loss of eye glasses,Closed,W0852
Theft,5815 S. Maryland (Mitchell Hospital),7/25/10 2:11 PM,7/25/10 12:00 PM to 1:00 PM,Unattended wallet taken from table in café,Open,W0853
Theft from Person,55th at Kimbark,7/25/10 4:45 PM,7/25/10 4:44 PM,Male exiting CTA bus grabbed cell phone from a passenger's hand and fled,Open,W0855
Irregular Conditions,61st to 65th / Cottage Grove to University,7/25/10 11:25 PM,7/25/10 11:25 PM,Power outage caused by shorted switch / Power restored at 11:50 PM,Closed,W0856
Fire Alarm,5835 S. Greenwood (Stuart Hall),7/26/10 8:30 AM,7/26/10 8:28 AM,Condensation in line triggered fire alarm / CFD responded,Closed,W0857
Harassment by Telephone,5848 S. University (Kelly Hall),7/26/10 9:05 AM,1/29/10 to7/22/10 periodic,Report of on-going harassing telephone calls from a known individual / Investigation being conducted by CPD,Closed,W0858
Lost Property,924 E. 57th St. (BSLC),7/26/10 4:31 PM,7/26/10 1:00 PM to 2:30 PM,Staff member reports losing her office keys,Closed,W0859
Theft,969 E. 60th St. (SSA),7/27/10 12:10 PM,7/26/10 to 7/27/10 5:00 PM to 8:00 AM,Unknown person cut U lock and took bicycle from bike rack,Open,W0860
Theft,947 E. 58th St. (Abbott Memorial Hall),7/27/10 3:02 PM,7/27/10 11:00 AM to 12:30 PM,Unattended MacBook laptop computer taken from unlocked room,Open,W0861
Information,901 E. 58th St. (UCMC ER),7/27/10 7:28 PM,7/27/10 7:20 PM,Disagreement between two staff members,Closed,W0862
Theft,1100 E. 57th St. (Regenstein Library),7/27/10 8:35 PM,7/27/10 12:20 PM to 6:50 PM,Unknown person took secured bicycle from bike rack,Open,W0863
Theft,1027 E. 57th St. (Anatomy),7/27/10 11:44 PM,7/27/10 4:00 PM to 11:30 PM,Unknown person took bicycle secured to bike rack,Open,W0864
Criminal Damage to Property,53rd between Woodlawn & Kimbark,7/28/10 7:48 AM,7/28/10 12:30 AM to 6:00 AM,Unknown person shattered glass entrance door of restaurant with an unknown object,Open,W0865
Assault,Hyde Park Blvd. at 55th,7/28/10 9:17 AM,7/26/10 9:50 PM,Unknown man followed woman and chased her into the lobby of her apartment building / No physical contact / No words exchanged,Open,W0867
Theft,969 E. 60th St. (SSA),7/28/10 9:43 AM,7/27/10 to 7/28/10 5:00 PM to 8:00 AM,Unknown person took secured bicycle from bike rack,Open,W0866
Theft,1020 E. 58th St. (Kent Lab),7/28/10 12:15 PM,7/28/10 9:20 AM to 12:05 PM,Secured bicycle taken from bike rack,Open,W0868
Theft,5815 S. Maryland (Mitchell Hospital),7/28/10 2:43 PM,7/28/10 2:15 PM,Wallet taken from woman's purse / Possibly in hallway or elevator,Open,W0869
Open Door,5800 S. Stony Island (Doctor's Hospital),7/28/10 9:14 PM,7/28/10 9:14 PM,UCPD officer discovered an open door in the vacant building / Officers toured premises / No persons found,Closed,W0870
Theft,University between 55th & 56th,7/28/10 10:29 PM,7/28/10 7:10 PM to 10:25 PM,Unknown person took a bicycle that was secured to a metal post in front of a residential building,Open,W0871
Fire Alarm,5807 S. Woodlawn (Booth School),7/29/10 4:33 AM,7/29/10 4:33 AM,Apparent alarm malfunction / No smoke or fire / CFD responded,Closed,W0872
Arson,Madison Park between Kenwood and Dorchester,7/29/10 7:46 AM,7/28/10 to 7/29/10 6:00 PM to 7:00 AM,City garbage container and wooden fence damaged by fire,Open,W0873
VOID,Void,Void,Void,Void,Void,W0874
Theft,1101 E. 58th St. (Rosenwald Hall),7/29/10 8:52 AM,7/28/10 8:00 AM to 5:30 PM,Unknown person took bicycle that had been secured to bike rack,Open,W0875
Telephone Threat,860 E. 59th St. (Goldblatt Pavilion),7/29/10 9:30 AM,7/28/10 1:00 PM,Woman felt threatened after receiving an anonymous phone call,Open,W0876
Irregular Conditions,4444 S. Evans (Woodson Charter School),7/29/10 10:56 AM,7/29/10 9:45 AM to 11:10 AM,Power outage reported / Restore at 11:10 AM,Closed,W0877
Assault,Drexel at 50th,7/29/10 11:53 AM,7/29/10 11:53 AM,Woman walking on the street felt threatened by the actions of a stranger / Suspect gone upon arrival of police,Open,W0878
Theft from Motor Vehicle,Cottage Grove at 59th,7/29/10 1:23 PM,7/29/10 11:00 AM,Unknown person smashed window of van parked on the street / Took GPS device and two Motorola portable radios,Open,W0879
Theft from Motor Vehicle,Ellis at 55th,7/29/10 3:19 PM,7/29/10 8:45 AM to 3:00 PM,Unknown person smashed window of car parked on the street / Took GPS device,Open,W0880
Criminal Damage to Property,800 E. 55th St (Friend Center),7/29/10 4:32 PM,7/29/10 3:20 PM,Disgruntled man threw a door open causing a hole in the wall,Open,W0882
Theft,929 E. 57th St. (Gordon Center),7/29/10 4:33 PM,7/29/10 9:20 AM to 4:15 PM,Unknown person took bicycle that had been secured to bike rack,Open,W0881
Theft,Kimbark between 57th & 58th,7/29/10 5:36 PM,7/28/10 to 7/29/10 8:00 AM to 5:00 PM,Unknown person took bicycle that had been secured to a lamp post in the courtyard of residential building,Open,W0883
Lost Property,5758 S. Maryland (DCAM),7/29/10 5:54 PM,7/29/10 1:30 PM to 4:00 PM,Woman lost her wallet while in the cafeteria,Closed,W0884
Theft from Motor Vehicle,Shore Dr. at 56th,7/29/10 7:14 PM,7/29/10 6:50 PM,Unknown female was seen entering an unlocked car parked on the street taking $5.00 in quarters,Open,W0885
Well-Being Check,Kenwood between 56th & 57th,7/30/10 3:50 AM,7/30/10 3:15 AM,UCPD checked well-being of an individual at the request of a friend / All was well,Closed,W0886
Theft,55th between Cornell and Hyde Park,7/30/10 12:13 PM,7/30/10 12:10 PM,Unknown male customer grabbed money from cash register as salesperson was making change / Suspect fled on foot,Open,W0887
VOID,Void,Void,Void,Void,Void,W0888
Theft,1115 E. 58th St. (Walker),7/30/10 3:05 PM,7/30/10 2:00 PM to 3:00 PM,Two bicycles chained together were taken from bike rack,Open,W0890
Theft,5812 S. Ellis (Brain Research),7/30/10 4:05 PM,7/30/10 9:00 AM to 3:45 PM,Unknown person took secured bicycle from bike rack,Open,W0889
Theft,1126 E. 59th St. (Social Science),7/30/10 8:46 PM,7/30/10 3:30 PM to 5:30 PM,Unknown person used a tool to cut bar on bike rack and took a secured bicycle,Open,W0891
Burglary,57th between Harper & Lake Park,7/31/10 2:11 AM,7/30/10 to 7/31/10 10:30 PM to 2:00 AM,"Unknown person(s) gained entry to residential apartment by undetermined method taking an Acer laptop computer, jewelry box and jewelry",Open,W0892
Burglary,52nd between Greenwood & University,7/31/10 2:20 AM,7/30/10 to 7/31/10 8:30 PM to 1:45 AM,"Entry gained to residential apartment via front window / 3 computers, $175 in coins, medical equipment taken by unknown person(s)",Open,W0893
